Date,country,ADR GGAL,BLUE,Dolar CCL,Dolar MEP,Dolar Mayorista,Dolar Oficial,Dolar Solidario,GGAL,Merval,uno,Brecha CCL,Brecha MEP,Brecha Blue,uno - 30d_running_av,uno - 30d_running_av_mom_change,uno - 30d_change,uno - usd_daily,uno - 7d_running_av,uno - 1d_change,BLUE - 30d_running_av,BLUE - 30d_running_av_mom_change,BLUE - 30d_change,BLUE - usd_daily,BLUE - 7d_running_av,BLUE - 1d_change,GGAL - 30d_running_av,GGAL - 30d_running_av_mom_change,GGAL - 30d_change,GGAL - usd_daily,GGAL - 7d_running_av,GGAL - 1d_change,Merval - 30d_running_av,Merval - 30d_running_av_mom_change,Merval - 30d_change,Merval - usd_daily,Merval - 7d_running_av,Merval - 1d_change,Merval - CCL_daily,ADR GGAL - 30d_running_av,ADR GGAL - 30d_running_av_mom_change,ADR GGAL - 30d_change,ADR GGAL - usd_daily,ADR GGAL - 7d_running_av,ADR GGAL - 1d_change,Dolar CCL - 30d_running_av_mom_change,Dolar CCL - 30d_running_av,Dolar CCL - 30d_change,Dolar CCL - usd_daily,Dolar CCL - 7d_running_av,Dolar CCL - 1d_change,Dolar MEP - 30d_running_av_mom_change,Dolar MEP - 30d_change,Dolar MEP - 30d_running_av,Dolar MEP - usd_daily,Dolar MEP - 7d_running_av,Dolar MEP - 1d_change,Brecha CCL - 30d_running_av,Brecha CCL - 30d_running_av_mom_change,Brecha CCL - 30d_change,Brecha CCL - usd_daily,Brecha CCL - 7d_running_av,Brecha CCL - 1d_change,Brecha MEP - 30d_running_av,Brecha MEP - 30d_running_av_mom_change,Brecha MEP - 30d_change,Brecha MEP - usd_daily,Brecha MEP - 7d_running_av,Brecha MEP - 1d_change,Brecha Blue - 30d_running_av,Brecha Blue - 30d_running_av_mom_change,Brecha Blue - 30d_change,Brecha Blue - usd_daily,Brecha Blue - 7d_running_av,Brecha Blue - 1d_change,Dolar Oficial - 30d_running_av_mom_change,Dolar Oficial - 30d_change,Dolar Oficial - 30d_running_av,Dolar Oficial - usd_daily,Dolar Oficial - 7d_running_av,Dolar Oficial - 1d_change,Dolar Mayorista - 30d_running_av_mom_change,Dolar Mayorista - 30d_running_av,Dolar Mayorista - 30d_change,Dolar Mayorista - usd_daily,Dolar Mayorista - 7d_running_av,Dolar Mayorista - 1d_change,Dolar Solidario - 30d_running_av,Dolar Solidario - 30d_change,Dolar Solidario - 30d_running_av_mom_change,Dolar Solidario - usd_daily,Dolar Solidario - 7d_running_av,Dolar Solidario - 1d_change
1992-03-06,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001681746325383,0.0,0.9912,,0.991,0.0,,,,,,,,,,,,
1992-03-09,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001681746325383,0.0,0.9912,,0.991,0.0,,,,,,,,,,,,
1992-03-10,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001681746325383,0.0,0.9912,,0.991,0.0,,,,,,,,,,,,
1992-03-11,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001681746325383,0.0,0.9912,,0.991,0.0,,,,,,,,,,,,
1992-03-12,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001681746325381,0.0,0.9912,,0.991,0.0,,,,,,,,,,,,
1992-03-13,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000201816347124,0.0,0.9912,,0.991,0.0,,,,,,,,,,,,
1992-03-16,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000201816347124,0.0,0.9912,,0.991,0.0,,,,,,,,,,,,
1992-03-17,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000201816347124,0.0,0.9912,,0.991,0.0,,,,,,,,,,,,
1992-03-18,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000201816347124,0.0,0.9912,,0.991,0.0,,,,,,,,,,,,
1992-03-19,Argentina,,,,,,0.992,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001009013857125,-0.0010070493454179,0.9911666666666668,,0.9911428571428572,0.1009081735620531,,,,,,,,,,,,
1992-03-20,Argentina,,,,,,0.993,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001008979921299,0.001008064516129,0.9912,,0.9914285714285714,0.1008064516129003,,,,,,,,,,,,
1992-03-23,Argentina,,,,,,0.993,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003026939763901,0.002018163471241,0.9914,,0.9922857142857142,0.0,,,,,,,,,,,,
1992-03-24,Argentina,,,,,,0.994,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004035919685196,0.0030272452068618,0.9915,,0.9927142857142855,0.1007049345417954,,,,,,,,,,,,
1992-03-25,Argentina,,,,,,0.994,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005044899606496,0.0030272452068618,0.9916,,0.9931428571428572,0.0,,,,,,,,,,,,
1992-03-26,Argentina,,,,,,0.996,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006053675926549,0.0040322580645162,0.9917333333333336,,0.9937142857142858,0.2012072434607548,,,,,,,,,,,,
1992-03-27,Argentina,,,,,,0.993,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006053472338996,0.001008064516129,0.9917666666666668,,0.9937142857142856,-0.3012048192771122,,,,,,,,,,,,
1992-03-30,Argentina,,,,,,0.995,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008071025020179,0.0040363269424823,0.992,,0.994,0.2014098690835908,,,,,,,,,,,,
1992-03-31,Argentina,,,,,,0.993,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008743610438526,0.002018163471241,0.9920666666666668,,0.9938571428571428,-0.2010050251256334,,,,,,,,,,,,
1992-04-01,Argentina,,,,,,0.992,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009079903147701,0.0010090817356205,0.9921,,0.9935714285714284,-0.1007049345417954,,,,,,,,,,,,
1992-04-02,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009079903147701,0.0,0.9921,,0.9928571428571428,-0.1008064516129003,,,,,,,,,,,,
1992-04-03,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009079903147701,0.0,0.9921,,0.9925714285714288,0.0,,,,,,,,,,,,
1992-04-06,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009079903147699,0.0,0.9921,,0.9914285714285712,0.0,,,,,,,,,,,,
1992-04-07,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009079903147699,0.0,0.9921,,0.9911428571428572,0.0,,,,,,,,,,,,
1992-04-08,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009079903147699,0.0,0.9921,,0.991,0.0,,,,,,,,,,,,
1992-04-09,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009079903147701,0.0,0.9921,,0.991,0.0,,,,,,,,,,,,
1992-04-10,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009079903147701,0.0,0.9921,,0.991,0.0,,,,,,,,,,,,
1992-04-13,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009079903147701,0.0,0.9921,,0.991,0.0,,,,,,,,,,,,
1992-04-14,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009079903147699,0.0,0.9921,,0.991,0.0,,,,,,,,,,,,
1992-04-15,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009079903147699,0.0,0.9921,,0.991,0.0,,,,,,,,,,,,
1992-04-20,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006725401842762,-0.0020140986908359,0.9919333333333334,,0.991,0.0,,,,,,,,,,,,
1992-04-21,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005379959650302,-0.0020140986908359,0.9918666666666668,,0.991,0.0,,,,,,,,,,,,
1992-04-22,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004034698406294,-0.0020140986908359,0.9918,,0.991,0.0,,,,,,,,,,,,
1992-04-23,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002017145738779,-0.0030181086519114,0.9917,,0.991,0.0,,,,,,,,,,,,
1992-04-24,Argentina,,,,,,0.991,,,,1.0,,,,1.0,0.0,0.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.220446049250313e-16,-0.0030181086519114,0.9916,,0.991,0.0,,,,,,,,,,,,
